259,21,0,0,1,0,1,0,0,0,0,1,0,14,0,1,2
10,204,0,3,24,0,0,0,11,0,6,0,10,11,1,3,17
2,1,191,8,4,51,20,0,2,7,3,8,1,0,0,1,1
2,1,51,113,34,5,1,6,4,4,11,0,35,5,3,13,12
1,5,47,58,84,2,1,4,11,1,7,1,52,7,1,9,9
1,0,50,17,0,166,52,0,0,5,1,6,0,0,0,2,0
0,0,28,0,1,41,154,0,0,11,2,63,0,0,0,0,0
0,1,0,3,11,0,0,261,4,0,1,0,8,4,1,6,0
0,7,4,4,15,1,2,2,164,4,67,1,12,4,0,5,8
1,0,17,3,2,1,3,1,19,170,72,4,2,1,0,2,2
0,5,14,8,4,1,4,3,81,42,122,3,5,2,0,4,2
0,0,11,1,0,2,43,13,2,5,6,216,0,0,0,1,0
2,5,1,28,42,0,0,8,8,0,1,0,180,6,1,12,6
6,4,1,6,24,0,0,1,16,1,2,0,7,167,15,26,24
3,2,1,3,1,0,1,1,1,0,1,0,1,31,194,46,14
3,4,1,16,9,1,0,8,4,3,1,0,10,41,68,114,17
2,6,0,2,4,0,0,1,9,0,2,1,12,18,17,2,224
