class_id,class_name,f1
0,Surface standing waters,0.8255451713395638
1,Surface running waters,0.7521663778162911
2,Dry grasslands,0.44476744186046513
3,Mesic grasslands,0.34532374100719426
4,Seasonally wet and wet grasslands,0.32296296296296295
5,Alpine and subalpine grasslands,0.47377326565143824
6,"Arctic, alpine and subalpine scrub",0.40076335877862596
7,Shrub plantations,0.782312925170068
8,Broadleaved deciduous woodland,0.45871559633027525
9,Coniferous woodland,0.5851239669421487
10,Mixed deciduous and coniferous woodland,0.3531468531468531
11,"Inland cliffs, rock pavements and outcrops",0.6471544715447154
12,Arable land and market gardens,0.4710017574692443
13,Cultivated areas of gardens and parks,0.5576592082616179
14,"Buildings of cities, towns and villages",0.6223776223776224
15,Low density buildings,0.4542372881355932
16,Transport networks and other constructed hard-surfaced areas,0.7687188019966722
