259,19,1,0,0,0,0,0,2,0,0,0,0,8,2,3,6
51,211,1,2,1,0,3,0,5,0,1,2,3,6,2,2,10
1,2,120,4,15,84,48,1,2,6,1,12,0,1,1,2,0
1,2,40,94,34,19,6,9,3,9,8,0,39,7,7,14,8
2,5,28,59,62,13,7,13,14,6,11,1,62,4,1,10,2
0,1,38,24,6,150,69,0,0,2,0,6,1,0,0,3,0
0,0,11,0,3,40,175,0,1,12,1,57,0,0,0,0,0
0,0,0,4,4,0,4,253,6,1,2,0,10,3,2,9,2
0,5,3,7,12,0,8,3,129,34,65,2,12,12,0,5,3
1,0,12,2,4,3,14,1,15,188,50,4,2,0,0,3,1
0,7,11,10,7,0,17,2,64,72,94,2,6,5,0,2,1
2,0,3,0,3,8,65,12,0,7,1,197,0,1,0,1,0
1,1,1,32,22,0,0,10,12,1,5,0,184,12,4,12,3
5,2,4,5,19,0,0,1,8,0,5,0,5,197,20,17,12
2,0,0,2,1,0,0,2,0,1,0,1,2,26,220,29,14
3,3,3,12,4,1,0,7,1,3,1,0,12,56,95,94,5
0,7,0,3,3,0,0,1,2,0,4,0,8,11,21,3,237
