epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_micro_f1,best_ckpt,last_ckpt
1,0.0001,2.447968766553482,0.28787135993724877,2.0252505557720477,0.44,0.38697056453211165,0.44,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,
2,0.0001,1.766027341240562,0.4531816844788705,1.6297596499369695,0.48246153846153844,0.4415537947761491,0.48246153846153844,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,
3,0.0001,1.5203055947747275,0.4951465829983332,1.5049883771309487,0.488,0.4572052399120031,0.488,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,
4,0.0001,1.426556034279356,0.515442690459849,1.4382431940665612,0.5058461538461538,0.46886434813283784,0.5058461538461538,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,
5,0.0001,1.363951568598139,0.5332875772134523,1.4117503660642183,0.5187692307692308,0.48905283864410765,0.5187692307692308,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,outputs\resnet18_tabular_20260107_124916\checkpoints\last_005.pt
6,0.0001,1.3256961110000787,0.5370134326894793,1.381806514960069,0.5181538461538462,0.4817652959735556,0.5181538461538462,,
7,0.0001,1.3069175021860433,0.5500539268555741,1.3609028667303231,0.5255384615384615,0.4969504777109209,0.5255384615384615,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,
8,0.0001,1.2836510577100388,0.5523090499068536,1.3500806879630456,0.5329230769230769,0.5031443462515695,0.5329230769230769,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,
9,0.0001,1.2678975484244717,0.5561329542111971,1.341930706684406,0.5310769230769231,0.497621419962448,0.5310769230769231,,
10,0.0001,1.2496036150862462,0.5598588096872242,1.3283521864230816,0.5267692307692308,0.4965845937631477,0.5267692307692308,,outputs\resnet18_tabular_20260107_124916\checkpoints\last_010.pt
11,0.0001,1.2387284786049695,0.5656436905578979,1.3229234435008121,0.5310769230769231,0.5012926202710826,0.5310769230769231,,
12,0.0001,1.228331705813011,0.5722129620551034,1.3102193384170533,0.5415384615384615,0.5063752999763288,0.5415384615384615,outputs\resnet18_tabular_20260107_124916\checkpoints\best.pt,
13,0.0001,1.2200067555253349,0.5708402784586725,1.30097223340548,0.5316923076923077,0.5007753224588303,0.5316923076923077,,
14,0.0001,1.210786620896638,0.5773115011275616,1.3000781696759738,0.5341538461538462,0.5026665799758933,0.5341538461538462,,
15,0.0001,1.2069023777917502,0.5753505245612315,1.3001998511094313,0.5353846153846153,0.5035681144542155,0.5353846153846153,,outputs\resnet18_tabular_20260107_124916\checkpoints\last_015.pt
16,0.0001,1.1894641731086695,0.5814295519168546,1.2908487446124737,0.5341538461538462,0.5018497683493418,0.5341538461538462,,
17,0.0001,1.185190513725666,0.5828022355132856,1.2885488353875967,0.5273846153846153,0.4966759695848962,0.5273846153846153,,
18,1e-05,1.1782217210198702,0.5863319933326797,1.2847943653693565,0.5341538461538462,0.49927991873334276,0.5341538461538462,,
19,1e-05,1.1653609648792518,0.5883910187273262,1.2816036380621103,0.5347692307692308,0.5018793915375954,0.5347692307692308,,
20,1e-05,1.1743771327992423,0.5847632120796157,1.2803363919624915,0.5323076923076923,0.5005517260218914,0.5323076923076923,,outputs\resnet18_tabular_20260107_124916\checkpoints\last_020.pt
21,1e-05,1.1719600459689872,0.5846651632512991,1.2797964746035062,0.5329230769230769,0.500663622178083,0.5329230769230769,,
22,1e-05,1.1618679990861005,0.5887832140405922,1.2800951532217173,0.5341538461538462,0.5021377307045504,0.5341538461538462,,
23,1e-05,1.1618356882608314,0.5872144327875282,1.2793713529293353,0.5341538461538462,0.502783497642362,0.5341538461538462,,
24,1.0000000000000002e-06,1.1706519510035585,0.5879007745857437,1.2779949754568247,0.5341538461538462,0.5023959767370265,0.5341538461538462,,
25,1.0000000000000002e-06,1.1684245612881021,0.5878027257574272,1.2779297327628503,0.5341538461538462,0.5023959767370265,0.5341538461538462,,outputs\resnet18_tabular_20260107_124916\checkpoints\last_025.pt
26,1.0000000000000002e-06,1.1650103430664298,0.5891754093538583,1.27792764208867,0.5341538461538462,0.5023959767370265,0.5341538461538462,,
27,1.0000000000000002e-06,1.1706486353805012,0.5831944308265516,1.277907880783081,0.5341538461538462,0.5023959767370265,0.5341538461538462,,
28,1.0000000000000002e-06,1.1603580160881564,0.5895676046671242,1.2779209521366999,0.5341538461538462,0.5023959767370265,0.5341538461538462,,
29,1.0000000000000002e-06,1.1665493613750937,0.5914305324051378,1.2778864060915434,0.5347692307692308,0.5028456150727676,0.5347692307692308,,
30,1.0000000000000002e-07,1.166076854977354,0.5913324835768212,1.2779188670378465,0.5347692307692308,0.5028456150727676,0.5347692307692308,,outputs\resnet18_tabular_20260107_124916\checkpoints\last_030.pt
