epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_micro_f1,best_ckpt,last_ckpt
1,0.0001,1.6629309666041054,0.4372977742915972,1.382189052435068,0.5316923076923077,0.5102308284706779,0.5316923076923077,outputs/ablation_study_results/A2/checkpoints/best.pt,
2,0.0001,1.3479221365664307,0.5295617217374252,1.3713682060241699,0.5230769230769231,0.5049250004917408,0.5230769230769231,,
3,0.0001,1.2568919589232201,0.5545641729581332,1.3314022574057947,0.5403076923076923,0.523796169865809,0.5403076923076923,outputs/ablation_study_results/A2/checkpoints/best.pt,
4,0.0001,1.1992932135292753,0.5682910089224433,1.3367340175188505,0.552,0.543201637126472,0.552,outputs/ablation_study_results/A2/checkpoints/best.pt,
5,0.0001,1.137802396583632,0.5907441906069223,1.3595103165553166,0.5396923076923077,0.5292870384689925,0.5396923076923077,,outputs/ablation_study_results/A2/checkpoints/last_005.pt
6,0.0001,1.0936229071765335,0.6099617609569565,1.3591169768846951,0.5310769230769231,0.526875836801037,0.5310769230769231,,
7,0.0001,1.0322862119695253,0.6271203059123444,1.4060721285159772,0.5304615384615384,0.521950275414111,0.5304615384615384,,
1,0.0001,1.6631584947325924,0.4386704578880282,1.391056209710928,0.5310769230769231,0.5080421203191019,0.5310769230769231,outputs/ablation_study_results/A2/checkpoints/best.pt,
2,0.0001,1.3485015018019726,0.5270124522011962,1.3649159695551945,0.5304615384615384,0.5105331399263253,0.5304615384615384,outputs/ablation_study_results/A2/checkpoints/best.pt,
3,0.0001,1.254082529565168,0.5542700264731837,1.3267421786968525,0.5403076923076923,0.5199831919201053,0.5403076923076923,outputs/ablation_study_results/A2/checkpoints/best.pt,
4,0.0001,1.1990769570371032,0.5691734483772919,1.3309232745537392,0.5452307692307692,0.5363206316375173,0.5452307692307692,outputs/ablation_study_results/A2/checkpoints/best.pt,
5,0.0001,1.1343390594008904,0.5934895577997843,1.3690105703060444,0.5433846153846154,0.5281389483735246,0.5433846153846154,,outputs/ablation_study_results/A2/checkpoints/last_005.pt
6,0.0001,1.0938874534537177,0.610452005098539,1.344734915806697,0.5366153846153846,0.5314760693430879,0.5366153846153846,,
7,0.0001,1.0316191819359573,0.6286890871654084,1.400200254220229,0.5446153846153846,0.5396622871630979,0.5446153846153846,outputs/ablation_study_results/A2/checkpoints/best.pt,
8,0.0001,0.9833353970527462,0.6485929993136582,1.4358110515154325,0.5175384615384615,0.5124215619752376,0.5175384615384615,,
9,0.0001,0.9488848155299195,0.665555446612413,1.4288069744110108,0.5243076923076923,0.5206196848917586,0.5243076923076923,,
10,0.0001,0.8943267395267511,0.6795764290616727,1.4638969286405124,0.5243076923076923,0.5208862055764852,0.5243076923076923,,outputs/ablation_study_results/A2/checkpoints/last_010.pt
11,0.0001,0.8542985380695245,0.6927149720560839,1.5402808653024527,0.5021538461538462,0.5014574165012802,0.5021538461538462,,
12,0.0001,0.7918876306731767,0.7162466908520443,1.5947285005862897,0.5052307692307693,0.5030711736980312,0.5052307692307693,,
13,1e-05,0.756534238412855,0.7310520639278361,1.6237306871414185,0.5206153846153846,0.5120694148039586,0.5206153846153846,,
14,1e-05,0.6021671790049957,0.790273556231003,1.5439178124941313,0.5329230769230769,0.5297742309394398,0.5329230769230769,,
15,1e-05,0.5498703388486823,0.814687714481812,1.577556506890517,0.5286153846153846,0.5250333088132085,0.5286153846153846,,outputs/ablation_study_results/A2/checkpoints/last_015.pt
16,1e-05,0.5224380874554309,0.8205706441808021,1.610247417963468,0.5212307692307693,0.5187646871789696,0.5212307692307693,,
17,1e-05,0.48959915124443143,0.8325326012354153,1.6288370133179884,0.5206153846153846,0.5167960415431198,0.5206153846153846,,
18,1e-05,0.48786167276643144,0.8309638199823512,1.6481835053517269,0.5212307692307693,0.5187981695490338,0.5212307692307693,,
19,1.0000000000000002e-06,0.4641585231516943,0.8395921168742033,1.701612652338468,0.5150769230769231,0.5098494684653476,0.5150769230769231,,
20,1.0000000000000002e-06,0.44970973074897874,0.8465535836846749,1.678152597794166,0.5187692307692308,0.5149356975211952,0.5187692307692308,,outputs/ablation_study_results/A2/checkpoints/last_020.pt
21,1.0000000000000002e-06,0.4463346807328331,0.848710657907638,1.6950397869990421,0.5156923076923077,0.5115242743554506,0.5156923076923077,,
22,1.0000000000000002e-06,0.43900080086705917,0.850671634473968,1.669127072407649,0.5181538461538462,0.5142325809892647,0.5181538461538462,,
23,1.0000000000000002e-06,0.4408731732266547,0.8495930973624866,1.70825298169943,0.5187692307692308,0.5172599802109129,0.5187692307692308,,
24,1.0000000000000002e-06,0.4339242628397036,0.8521423668987156,1.6993645530847403,0.5107692307692308,0.50749173020753,0.5107692307692308,,
25,1.0000000000000002e-07,0.4352895008610655,0.8524365133836651,1.6874515108695396,0.5169230769230769,0.5178381004102266,0.5169230769230769,,outputs/ablation_study_results/A2/checkpoints/last_025.pt
26,1.0000000000000002e-07,0.42322376603027784,0.8549857829198941,1.6909828899090107,0.5267692307692308,0.5241285402729607,0.5267692307692308,,
27,1.0000000000000002e-07,0.43042557464123754,0.8556721247181096,1.6854621648788453,0.5107692307692308,0.5105701460790519,0.5107692307692308,,
28,1.0000000000000002e-07,0.4326548794634565,0.8562604176880086,1.679372529910161,0.5218461538461538,0.5178991970554787,0.5218461538461538,,
29,1.0000000000000002e-07,0.42395833969198027,0.8575350524561232,1.6911884486858662,0.5150769230769231,0.5124946047595943,0.5150769230769231,,
