epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_micro_f1,best_ckpt,last_ckpt
1,0.0001,1.6440309280624037,0.43896460437297774,1.4333953296954816,0.48430769230769233,0.4595851751994025,0.48430769230769233,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
2,0.0001,1.3306753430626932,0.5279929404843612,1.3777304498965923,0.5267692307692308,0.490391803438458,0.5267692307692308,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
3,0.0001,1.281200215844316,0.5510344151387391,1.3852107928349422,0.5126153846153846,0.49097861859253344,0.5126153846153846,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
4,0.0001,1.2324518189732732,0.5644671046180998,1.3092243787325346,0.548923076923077,0.5273395391019843,0.548923076923077,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
1,0.0001,1.6440309280624037,0.43896460437297774,1.4333953296954816,0.48430769230769233,0.4595851751994025,0.48430769230769233,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
2,0.0001,1.3306753430626932,0.5279929404843612,1.3777304498965923,0.5267692307692308,0.490391803438458,0.5267692307692308,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
3,0.0001,1.281200215844316,0.5510344151387391,1.3852107928349422,0.5126153846153846,0.49097861859253344,0.5126153846153846,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
4,0.0001,1.2324518189732732,0.5644671046180998,1.3092243787325346,0.548923076923077,0.5273395391019843,0.548923076923077,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
5,0.0001,1.2060730147623575,0.5687812530640259,1.2861289264238798,0.5464615384615384,0.5206052992073869,0.5464615384615384,,outputs/ablation_study_results/F1_ft/checkpoints/last_005.pt
6,0.0001,1.1825257937152405,0.5788802823806255,1.266940240419828,0.5495384615384615,0.5223409224208161,0.5495384615384615,,
7,0.0001,1.1735241637181764,0.5835866261398176,1.3414593700262216,0.5378461538461539,0.5129123619906228,0.5378461538461539,,
8,0.0001,1.1529519765654526,0.5878027257574272,1.2804913346950824,0.536,0.5213649691455471,0.536,,
9,0.0001,1.1420310111019656,0.5929993136582018,1.297780223626357,0.5396923076923077,0.515113754696404,0.5396923076923077,,
10,0.0001,1.1705468754661306,0.5786841847239925,1.2682631645202638,0.5563076923076923,0.5426871439752299,0.5563076923076923,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,outputs/ablation_study_results/F1_ft/checkpoints/last_010.pt
11,0.0001,1.084319862983708,0.6062359054809295,1.3167921716249906,0.5538461538461539,0.5435255491895468,0.5538461538461539,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
12,0.0001,1.0357668266563815,0.6248651828610648,1.288515078838055,0.5575384615384615,0.5543993923504676,0.5575384615384615,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
13,0.0001,0.9927303766208438,0.6388861653103245,1.282696835224445,0.5643076923076923,0.5547872107528716,0.5643076923076923,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
14,0.0001,0.9600673919273879,0.6544759290126483,1.2324154410729042,0.5729230769230769,0.5660024717475791,0.5729230769230769,outputs/ablation_study_results/F1_ft/checkpoints/best.pt,
15,0.0001,0.9115164479340674,0.664574958329248,1.297403190759512,0.571076923076923,0.5619009306729144,0.571076923076923,,outputs/ablation_study_results/F1_ft/checkpoints/last_015.pt
16,0.0001,0.8735939200011664,0.6803608196882047,1.3330144191888662,0.568,0.5610592908240725,0.568,,
17,0.0001,0.8294867617042057,0.70095107363467,1.4369329847189096,0.5464615384615384,0.5397222828937311,0.5464615384615384,,
18,0.0001,0.7941061939336655,0.7052652220805962,1.5361492617680477,0.5341538461538462,0.522907674303512,0.5341538461538462,,
19,0.0001,0.7753749644479304,0.7165408373369938,1.5383663112933819,0.5470769230769231,0.5306388577488798,0.5470769230769231,,
20,1e-05,0.6672594060744944,0.753897440925581,1.5379603899442233,0.5544615384615385,0.5480737507267378,0.5544615384615385,,outputs/ablation_study_results/F1_ft/checkpoints/last_020.pt
21,1e-05,0.6277545558633681,0.7691930581429552,1.5517457405970647,0.5556923076923077,0.5506711078660367,0.5556923076923077,,
22,1e-05,0.5980214819404142,0.7785076968330229,1.689863120005681,0.544,0.5437427600572278,0.544,,
23,1e-05,0.5731529452886309,0.789685263261104,1.7681821724818303,0.5532307692307692,0.5457198301679924,0.5532307692307692,,
24,1e-05,0.5702679947738917,0.788900872634572,1.710466241836548,0.5532307692307692,0.5518737588521132,0.5532307692307692,,
25,1e-05,0.5420376044597705,0.7987057554662221,1.7507462375347431,0.5335384615384615,0.5269616143396485,0.5335384615384615,,outputs/ablation_study_results/F1_ft/checkpoints/last_025.pt
26,1e-05,0.5365990931081449,0.8080203941562898,1.8057075678018424,0.5513846153846154,0.5402535857136297,0.5513846153846154,,
27,1e-05,0.5176246247433929,0.8068438082164918,1.8369212287022518,0.5495384615384615,0.5463517685428841,0.5495384615384615,,
28,1e-05,0.5039497391945451,0.8113540543190508,1.8798540149101843,0.5304615384615384,0.5262900373262467,0.5304615384615384,,
29,1e-05,0.49395617533810104,0.8181194234728895,1.9541529130202073,0.5193846153846153,0.5164400106147715,0.5193846153846153,,
30,1e-05,0.48487242463114494,0.816648691048142,1.9601976516430195,0.5249230769230769,0.5253058915419273,0.5249230769230769,,outputs/ablation_study_results/F1_ft/checkpoints/last_030.pt
