269,19,0,0,0,0,2,0,1,2,0,0,0,4,0,0,3
22,241,0,3,2,0,0,1,6,0,3,0,7,2,4,5,4
1,1,202,9,5,28,26,0,1,12,3,8,0,0,0,3,1
2,4,51,94,17,12,3,6,2,5,17,0,45,6,2,20,14
1,6,45,73,40,2,2,7,15,2,19,1,60,9,3,9,6
1,1,53,18,0,155,57,0,0,6,1,6,0,0,0,2,0
0,1,31,0,0,62,154,0,1,15,0,36,0,0,0,0,0
0,0,0,5,5,0,1,243,5,0,3,3,13,3,4,14,1
0,12,4,6,4,2,2,0,148,13,88,1,7,3,0,7,3
1,1,9,5,2,2,4,1,16,209,43,2,1,1,0,2,1
0,5,10,12,1,2,4,2,63,64,125,3,3,3,0,3,0
1,3,16,1,0,1,80,8,2,9,1,178,0,0,0,0,0
2,2,1,35,14,0,0,10,8,1,10,0,186,6,2,17,6
12,4,0,4,9,0,0,0,13,1,5,0,8,177,25,28,14
0,4,0,3,0,0,0,2,1,2,0,0,2,12,196,67,11
4,4,1,11,3,2,0,5,2,5,2,0,20,25,66,142,8
2,6,0,2,2,0,0,1,4,1,4,0,8,7,21,4,238
