270,10,0,0,1,0,1,0,1,0,0,0,0,6,3,3,5
49,196,1,3,11,0,1,0,12,0,0,0,5,2,5,11,4
3,0,179,12,8,44,30,0,2,7,3,5,1,1,0,4,1
3,0,46,105,42,8,2,9,4,4,7,0,37,1,4,18,10
2,2,36,52,85,8,2,14,16,1,6,0,59,1,1,11,4
1,0,31,24,1,163,68,0,0,3,2,6,0,0,0,1,0
0,0,17,0,1,49,167,0,2,11,0,52,0,0,0,0,1
0,0,0,2,12,0,0,254,3,0,2,0,12,2,1,9,3
0,2,2,4,21,0,6,3,183,4,44,2,10,7,0,7,5
2,0,14,5,2,3,4,2,23,168,70,2,2,1,0,2,0
0,3,14,13,12,1,7,1,88,33,109,3,6,3,0,5,2
2,1,11,1,1,8,53,11,8,2,0,201,0,0,0,1,0
3,1,1,26,47,0,0,14,10,0,2,0,167,7,2,16,4
8,0,0,5,21,0,0,0,12,0,5,0,6,161,28,39,15
2,2,0,4,3,0,0,2,0,1,0,0,2,10,213,54,7
4,2,1,15,15,2,0,6,4,3,0,0,15,16,72,141,4
2,2,0,3,4,0,0,2,7,0,3,0,5,7,31,5,229
