272,24,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
41,223,1,5,4,0,0,0,15,1,0,0,0,0,5,3,2
4,1,209,12,11,26,20,0,2,5,4,4,0,0,0,2,0
4,3,60,85,57,6,0,9,7,7,9,0,29,0,1,17,6
2,4,40,34,118,3,1,6,20,2,8,1,46,2,1,10,2
1,0,77,21,5,125,57,0,0,5,2,5,1,0,0,1,0
1,0,55,0,1,37,143,0,2,13,0,48,0,0,0,0,0
0,1,0,3,7,0,0,250,8,0,2,0,11,2,0,13,3
0,7,10,3,13,0,2,2,166,8,74,1,6,2,0,6,0
3,0,21,4,4,0,1,1,16,188,56,3,1,0,0,2,0
0,2,14,12,9,0,3,2,76,55,117,3,3,0,0,4,0
4,0,19,2,2,2,40,13,3,8,0,207,0,0,0,0,0
1,2,2,23,56,0,0,11,15,0,6,0,162,3,1,17,1
16,3,2,7,21,0,0,3,18,0,5,0,9,150,18,39,9
3,1,0,8,1,0,0,2,1,1,0,0,1,13,156,108,5
3,2,4,16,10,2,0,4,3,2,6,0,14,14,46,171,3
4,7,0,4,4,0,0,4,10,1,0,0,5,9,17,14,221
